figure_path,file_name,content_type,current_quality,suggested_section,suggested_caption,insert_to_main_text,need_redraw,reason
E:\Deskbook\Tea\tables\1\fig8_reliability_corruption_diagnostic.png,fig8_reliability_corruption_diagnostic.png,corruption diagnostic,usable,Discussion,Reliability proxy response under synthetic modality corruption.,yes,no,"Use cautiously as learned proxy diagnostic, not physical reliability proof."
E:\Deskbook\Tea\tables\1\fig8_reliability_corruption_diagnostic.svg,fig8_reliability_corruption_diagnostic.svg,corruption diagnostic,usable,Discussion,Reliability proxy response under synthetic modality corruption.,yes,no,"Use cautiously as learned proxy diagnostic, not physical reliability proof."
E:\Deskbook\Tea\tables\1\fig9_vk_semantic_anchor_test.pdf,fig9_vk_semantic_anchor_test.pdf,VK semantic-anchor diagnostic,diagnostic/optional,Supplementary/Discussion,VK semantic-anchor perturbation diagnostic.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\tables\1\fig9_vk_semantic_anchor_test.png,fig9_vk_semantic_anchor_test.png,VK semantic-anchor diagnostic,diagnostic/optional,Supplementary/Discussion,VK semantic-anchor perturbation diagnostic.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\tables\1\fig9_vk_semantic_anchor_test.svg,fig9_vk_semantic_anchor_test.svg,VK semantic-anchor diagnostic,diagnostic/optional,Supplementary/Discussion,VK semantic-anchor perturbation diagnostic.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\supplement\core_claim_diagnostics\fig_privacy_exposure_risk.svg,fig_privacy_exposure_risk.svg,unknown,diagnostic/optional,Discussion,Candidate figure.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\supplement\vk_semantic_anchor_analysis\fig_vk_semantic_anchor_diagnostic.pdf,fig_vk_semantic_anchor_diagnostic.pdf,VK semantic-anchor diagnostic,diagnostic/optional,Supplementary/Discussion,VK semantic-anchor perturbation diagnostic.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\supplement\vk_semantic_anchor_analysis\fig_vk_semantic_anchor_diagnostic.png,fig_vk_semantic_anchor_diagnostic.png,VK semantic-anchor diagnostic,diagnostic/optional,Supplementary/Discussion,VK semantic-anchor perturbation diagnostic.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\supplement\vk_semantic_anchor_analysis\fig_vk_semantic_anchor_diagnostic.svg,fig_vk_semantic_anchor_diagnostic.svg,VK semantic-anchor diagnostic,diagnostic/optional,Supplementary/Discussion,VK semantic-anchor perturbation diagnostic.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\Paper\EAAI.pdf,EAAI.pdf,unknown,diagnostic/optional,Discussion,Candidate figure.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\Paper\EAAI_check.pdf,EAAI_check.pdf,unknown,diagnostic/optional,Discussion,Candidate figure.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\Paper\IoTJ_VK_RMD.pdf,IoTJ_VK_RMD.pdf,unknown,diagnostic/optional,Discussion,Candidate figure.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\Paper\IoTJ_VK_RMD_check.pdf,IoTJ_VK_RMD_check.pdf,unknown,diagnostic/optional,Discussion,Candidate figure.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\Paper\IoTJ_VK_RMD_CN.pdf,IoTJ_VK_RMD_CN.pdf,unknown,diagnostic/optional,Discussion,Candidate figure.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\Paper\IoTJ_VK_RMD_grouped_check.pdf,IoTJ_VK_RMD_grouped_check.pdf,unknown,diagnostic/optional,Discussion,Candidate figure.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\Paper\IoTJ_VK_RMD_xfi_check.pdf,IoTJ_VK_RMD_xfi_check.pdf,unknown,diagnostic/optional,Discussion,Candidate figure.,no,no,Indexed figure candidate.
E:\Deskbook\Tea\Paper\main.pdf,main.pdf,main HPE/HAR results,usable,Results,Main HPE/HAR performance summary.,yes,no,Indexed figure candidate.
E:\Deskbook\Tea\Paper\VK_RMD_Privacy_Missing_Modality_HPE_HAR.pdf,VK_RMD_Privacy_Missing_Modality_HPE_HAR.pdf,unknown,diagnostic/optional,Discussion,Candidate figure.,no,no,Indexed figure candidate.
