index,name,title,kind,status,reason,returncode,seconds,outputs
29,cross_subject_student_vk_eval31,cross_subject | Student-VK 31-combination evaluation,eval,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing_cross_subject_split/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_vk_cross_subject_all_combinations.csv
30,cross_subject_student_nv_train,cross_subject | Student-NV non-visual missing-modality training,train,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/teacher_full_cross_subject_split/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_nv_missing_cross_subject/best.pth
31,cross_subject_student_nv_eval15,cross_subject | Student-NV non-visual combination evaluation,eval,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_nv_missing_cross_subject/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_nv_cross_subject_nonvisual_combinations.csv
32,cross_subject_baseline_train,cross_subject | Baseline full-modality training,train,failed,,1,94.793,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/baseline_full_cross_subject_split/best.pth
33,cross_subject_baseline_eval31,cross_subject | Baseline 31-combination evaluation,eval,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/baseline_full_cross_subject_split/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/baseline_cross_subject_all_combinations.csv
34,random_teacher_xfi_report,Random split | Teacher vs official X-Fi report,report,failed,,1,0.117,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/teacher_all_combinations.xfi_compare_summary.csv
35,random_student_vk_xfi_report,Random split | Student-VK vs official X-Fi report,report,failed,,1,0.103,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/all_combinations.xfi_compare_summary.csv
36,random_student_nv_xfi_report,Random split | Student-NV vs official X-Fi report,report,failed,,1,0.112,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/student_nv_nonvisual_combinations.xfi_compare_summary.csv
37,random_baseline_xfi_report,Random split | Baseline vs official X-Fi report,report,failed,,1,0.149,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/baseline_full_all_combinations.xfi_compare_summary.csv
38,ablation_no_distill_xfi_report,Random split | No-distillation ablation report,report,failed,,1,0.090,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/ablation_no_distill_all_combinations.xfi_compare_summary.csv
39,ablation_uniform_fusion_xfi_report,Random split | Uniform-fusion ablation report,report,failed,,1,0.094,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/eval/ablation_uniform_fusion_all_combinations.xfi_compare_summary.csv
